organism	label	genome_build	image	bioc_version	platform	genome_package	annotation_package	annotation_object	annotation_loader	annotation_source_loader	annotation_transform	bioc_packages	cran_packages	github_packages	enabled
human	Human	GRCh38	fvasquezcastro/preditr-ref:human-grch38	3.19	linux/amd64	BSgenome.Hsapiens.UCSC.hg38	crisprDesignData	txdb_human	rds	data	none	BSgenome.Hsapiens.UCSC.hg38	none	crisprVerse/crisprDesignData	true
mouse	Mouse	mm10	fvasquezcastro/preditr-ref:mouse-mm10	3.19	linux/amd64	BSgenome.Mmusculus.UCSC.mm10	crisprDesignData	txdb_mouse	rds	data	none	BSgenome.Mmusculus.UCSC.mm10	none	crisprVerse/crisprDesignData	true
